place_name,place_type,year,quarter,value
אילת,עירייה,2017,1,1753.0
אילת,עירייה,2017,2,481.0
אלעד,עירייה,2012,1,284.0
אלעד,עירייה,2012,2,172.0
אלעד,עירייה,2012,3,230.0
אלעד,עירייה,2012,4,86.0
אלעד,עירייה,2013,1,132.0
אלעד,עירייה,2013,2,95.0
אלעד,עירייה,2013,3,147.0
אלעד,עירייה,2013,4,246.0
אלעד,עירייה,2014,1,263.0
אלעד,עירייה,2014,2,256.0
אלעד,עירייה,2014,3,278.0
אלעד,עירייה,2014,4,134.0
אלעד,עירייה,2015,1,319.0
אלעד,עירייה,2015,2,556.0
אלעד,עירייה,2015,3,714.0
אלעד,עירייה,2015,4,1041.0
אלעד,עירייה,2016,1,926.0
אלעד,עירייה,2016,2,589.0
אלעד,עירייה,2016,3,625.0
אלעד,עירייה,2016,4,477.0
אלעד,עירייה,2017,1,618.0
אלעד,עירייה,2017,2,272.0
אריאל,עירייה,2012,1,208.0
אריאל,עירייה,2012,2,187.0
אריאל,עירייה,2012,3,218.0
אריאל,עירייה,2012,4,311.0
אריאל,עירייה,2013,1,175.0
אריאל,עירייה,2013,2,182.0
אריאל,עירייה,2013,3,118.0
אריאל,עירייה,2013,4,336.0
אריאל,עירייה,2014,1,380.0
אריאל,עירייה,2014,2,320.0
אריאל,עירייה,2014,3,287.0
אריאל,עירייה,2014,4,383.0
אריאל,עירייה,2015,1,501.0
אריאל,עירייה,2015,2,352.0
אריאל,עירייה,2015,3,186.0
אריאל,עירייה,2015,4,425.0
אריאל,עירייה,2016,1,418.0
אריאל,עירייה,2016,2,364.0
אריאל,עירייה,2016,3,388.0
אריאל,עירייה,2016,4,527.0
אריאל,עירייה,2017,1,596.0
אריאל,עירייה,2017,2,225.0
אשדוד,עירייה,2012,1,1421.0
אשדוד,עירייה,2012,2,1634.0
אשדוד,עירייה,2012,3,2100.0
אשדוד,עירייה,2012,4,1699.0
אשדוד,עירייה,2013,1,2345.0
אשדוד,עירייה,2013,2,3166.0
אשדוד,עירייה,2013,3,2751.0
אשדוד,עירייה,2013,4,3277.0
אשדוד,עירייה,2014,1,3527.0
אשדוד,עירייה,2014,2,2863.0
אשדוד,עירייה,2014,3,1871.0
אשדוד,עירייה,2014,4,2185.0
אשדוד,עירייה,2015,1,2755.0
אשדוד,עירייה,2015,2,2684.0
אשדוד,עירייה,2015,3,3497.0
אשדוד,עירייה,2015,4,3054.0
אשדוד,עירייה,2016,1,4247.0
אשדוד,עירייה,2016,2,4036.0
אשדוד,עירייה,2016,3,4704.0
אשדוד,עירייה,2016,4,3410.0
אשדוד,עירייה,2017,1,3434.0
אשדוד,עירייה,2017,2,1912.0
אשקלון,עירייה,2012,1,2068.0
אשקלון,עירייה,2012,2,1846.0
אשקלון,עירייה,2012,3,2407.0
אשקלון,עירייה,2012,4,2111.0
אשקלון,עירייה,2013,1,2525.0
אשקלון,עירייה,2013,2,2723.0
אשקלון,עירייה,2013,3,2995.0
אשקלון,עירייה,2013,4,3083.0
אשקלון,עירייה,2014,1,2795.0
אשקלון,עירייה,2014,2,3266.0
אשקלון,עירייה,2014,3,2653.0
אשקלון,עירייה,2014,4,3414.0
אשקלון,עירייה,2015,1,4082.0
אשקלון,עירייה,2015,2,3752.0
אשקלון,עירייה,2015,3,3359.0
